Id;CV;Type;Begin;End;City;Name;Link;Notes
1;False;Wor;25.4.22;25.4.22;Cambridge;Mathematical Theorem Proving Workshop (Huawei Technologies R&D UK Ltd);;
2;False;Con;6.6.22;9.6.22;London;73rd British Mathematical Colloquium;https://www.kcl.ac.uk/events/british-mathematical-colloquium-2022;
3;False;Sch;8.8.22;12.8.22;Hay-On-Wye;Elliptic Curves 2022;https://sites.google.com/view/ellipticcurves2022;
4;False;Con;15.8.22;19.8.22;Cambridge;Mordell 2022;https://www.dpmms.cam.ac.uk/~jat58/mordell;
5;False;Con;23.8.22;25.8.22;Glasgow;Young Researchers in Algebraic Number Theory;https://y-rant.github.io/historic/YRANT4;
6;False;Mee;12.12.22;12.12.22;London;The Advent of Rational Points;https://sites.google.com/view/rachelnewton/the-advent-of-rational-points;
7;False;Sch;30.1.23;3.2.23;Marseille;Introduction to Symposium on Arithmetic Geometry and its Applications;https://conferences.cirm-math.fr/2801.html;
8;False;Con;6.2.23;10.2.23;Marseille;Symposium on Arithmetic Geometry and its Applications;https://conferences.cirm-math.fr/2802.html;
9;False;Con;10.4.23;14.4.23;Edinburgh (Online);Arithmetic, Algebra, and Algorithms;https://www.icms.org.uk/workshops/2023/arithmetic-algebra-and-algorithms;
10;False;Sch;8.5.23;12.5.23;Marseille;Spring School in Arithmetic Statistics ;https://conferences.cirm-math.fr/2679.html;
11;False;Con;15.5.23;19.5.23;Marseille;Arithmetic Statistics;https://conferences.cirm-math.fr/2675.html;
12;False;Wor;22.5.23;26.5.23;Banff (Online);Formalization of Cohomology Theories;https://www.birs.ca/events/2023/5-day-workshops/23w5124;
13;False;Mee;12.6.23;14.6.23;London;London–Paris Number Theory Seminar;https://www.ma.imperial.ac.uk/~anskor/Manin-meeting.htm;
14;False;Wor;26.6.23;30.6.23;Copenhagen;Masterclass: Formalisation of Mathematics;https://www.math.ku.dk/english/calendar/events/formalisation-of-mathematics;
15;True;Con;31.7.23;4.8.23;Białystok;14th International Conference on Interactive Theorem Proving;https://mizar.uwb.edu.pl/ITP2023;
16;False;Wor;23.8.23;25.8.23;Bielefeld;Early Number Theory Researchers Workshop 2023;https://www.math.uni-bielefeld.de/entr23;
17;False;Con;6.9.23;8.9.23;Cambridge;Young Researchers in Algebraic Number Theory;https://y-rant.github.io/historic/YRANT5;
18;False;Wor;11.9.23;15.9.23;Manchester;Algebra and Number Theory In Conversation;https://sites.google.com/view/antic-manchester;
19;False;Sch;11.9.23;22.9.23;Bengaluru (Online);Rational Points on Modular Curves;https://www.icts.res.in/program/rpmc;
20;False;Sch;18.9.23;22.9.23;Bonn;Hausdorff School: Formal Mathematics and Computer-Assisted Proving;https://www.mathematics.uni-bonn.de/hsm-school/programs/schools/hsm-special-topic-schools/hs_2023_09_18;
21;False;Con;6.12.23;8.12.23;Coventry;Modular Curves and their Arithmetic;https://warwick.ac.uk/fac/sci/maths/research/events/2023-2024/modularcurves;
22;False;Mee;9.1.24;12.1.24;Zoom (Online);Lean Together 2024;https://leanprover-community.github.io/lt2024;
23;False;Wor;25.3.24;29.3.24;Marseille;Lean for the Curious Mathematician 2024;https://conferences.cirm-math.fr/2970.html;
24;False;Mee;7.5.24;7.5.24;Bath;The Spring of Rational Points;https://sites.google.com/site/danielloughran/spring-of-rational-points;
25;False;Mee;29.5.24;29.5.24;Glasgow;A Wee Day of Rational Points;https://www.maths.gla.ac.uk/~dgvirtz/weeday2024.html;
26;False;Mee;13.6.24;14.6.24;London;London–Paris Number Theory Seminar;https://sites.google.com/site/bethromano/conferences/LPNTS;
27;False;Con;17.6.24;20.6.24;Manchester;75th British Mathematical Colloquium;https://sites.google.com/view/bmc2024;
28;True;Wor;24.6.24;28.6.24;Pasadena (Online);Formalising Algebraic Geometry;https://aimath.org/workshops/upcoming/alggeominlean;
29;True;Org;22.7.24;25.7.24;Durham;International Congress on Mathematical Software: Novel Formalisations of Mathematics in Lean;https://maths.dur.ac.uk/icms2024;Conference session organised by Fangming Li, Amelia Livingston, Jujian Zhang, and myself
30;False;Con;31.7.24;2.8.24;Oxford;Young Researchers in Algebraic Number Theory;https://y-rant.github.io/historic/YRANT6;
31;False;Con;21.8.24;25.8.24;Cetraro;The Third Journal of Number Theory Biennial Conference;https://www.math.columbia.edu/~goldfeld/JNTBiennial2024.html;
32;True;Wor;2.9.24;6.9.24;Munich;Algebraic Number Theory;https://nt2024.unibw.de;
33;False;Wor;3.10.24;4.10.24;London;Arithmetic Geometry of K3 Surfaces and Related Areas;https://www.ma.imperial.ac.uk/~anskor/K3Imperial.htm;
34;False;Wor;18.11.24;22.11.24;Singapore;Workshop on p-adic Geometry;http://www.davidrenshawhansen.net/workshop2024.html;
35;False;Mee;14.1.25;17.1.25;Zoom (Online);Lean Together 2025;https://leanprover-community.github.io/lt2025;
36;False;Mee;3.3.25;4.3.25;Stonehouse;Elliptic Curves in the Cotswolds;;
37;True;Con;10.3.25;14.3.25;Sofia;Diophantine and Rationality Problems;https://icms.bg/diophantine-and-rationality-problems-drp2025;
38;False;Mee;13.5.25;13.5.25;Bath;Spring of Rational Points II;https://sites.google.com/view/jessepajwani/spring-of-rational-points-ii;
39;False;Con;23.6.25;26.6.25;Exeter;British Mathematical Colloquium;https://sites.exeter.ac.uk/bmc-bamc2025;
40;True;Con;7.7.25;11.7.25;Providence, RI (Online);LMFDB, Computation, and Number Theory;https://icerm.brown.edu/program/topical_workshop/tw-25-lucant;
41;True;Wor;14.7.25;18.7.25;Cambridge, MA (Online);LMFDB Workshop;https://math.mit.edu/~roed/conferences/LMFDB25;
42;True;Wor;21.7.25;25.7.25;Oxford;Formalizing Class Field Theory;https://www.claymath.org/events/formalizing-class-field-theory;
43;True;Wor;25.7.25;26.7.25;Würzburg;Magma Meeting: Rational Points 2025;https://timo-keller.de/MagmaWorkshop2025.html;
44;True;Con;27.7.25;2.8.25;Schney;Rational Points 2025;https://www.mathe2.uni-bayreuth.de/stoll/workshop2025;
